Conf,G_x,GS,MP_x,FG,FGA,FG%_x,2P,2PA,2P%,3P,3PA,3P%_x,FT,FTA,FT%_x,ORB,DRB,TRB_x,AST_x,STL,BLK,TOV,PF,PTS_x,SOS,Years Played,Player,Rk,Pk,Tm,College,Yrs,G_y,MP_y,PTS_y,TRB_y,AST_y,FG%_y,3P%_y,FT%_y,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year
Pac 12,53.0,43.0,28.0,6.1,12.7,0.48,6.1,12.3,0.491,0.1,0.4,0.143,3.7,4.9,0.764,2.3,4.8,7.1,1.1,0.5,1.9,2.1,2.6,16.0,8.01,3,Brook Lopez,10,10,NJN,Stanford,15.0,909.0,27439.0,14840.0,5675.0,1296.0,0.494,0.345,0.796,30.2,16.3,6.2,1.4,75.4,0.132,1.3,23.0,2008
Pac 12,30.0,30.0,35.7,5.8,12.6,0.458,3.8,7.8,0.489,2.0,4.8,0.407,6.2,7.4,0.839,0.4,2.3,2.7,4.0,1.0,0.1,3.0,2.2,19.7,10.22,2,Jerryd Bayless,11,11,IND,Arizona,11.0,586.0,12486.0,4909.0,1235.0,1674.0,0.411,0.361,0.818,21.3,8.4,2.1,2.9,18.6,0.072,-1.6,1.1,2008
MAAC,122.0,112.0,32.1,6.2,11.8,0.526,6.0,11.0,0.544,0.2,0.8,0.291,4.0,6.0,0.667,3.0,6.6,9.6,2.0,0.9,1.9,2.6,3.0,16.7,-3.38,5,Jason Thompson,12,12,SAC,Rider University,8.0,588.0,14819.0,5210.0,3880.0,635.0,0.496,0.143,0.657,25.2,8.9,6.6,1.1,23.8,0.077,-2.6,-2.4,2008
Big 12,109.0,101.0,31.3,4.9,10.9,0.449,3.0,6.6,0.458,1.9,4.3,0.435,1.8,2.5,0.733,1.5,4.0,5.5,2.0,0.7,0.8,2.1,1.5,13.6,7.56,4,Brandon Rush,13,13,POR,Kansas,9.0,481.0,10564.0,3250.0,1413.0,468.0,0.426,0.402,0.706,22.0,6.8,2.9,1.0,11.2,0.051,-1.4,1.6,2008
SEC,31.0,31.0,32.8,5.9,12.7,0.464,5.8,12.1,0.483,0.1,0.6,0.105,3.7,5.4,0.693,2.8,5.7,8.5,1.2,1.1,2.3,3.0,2.7,15.6,5.66,2,Anthony Randolph,14,14,GSW,LSU,6.0,252.0,3841.0,1789.0,1078.0,187.0,0.453,0.241,0.74,15.2,7.1,4.3,0.7,5.8,0.072,-1.6,0.4,2008
Pac 12,67.0,61.0,24.3,3.5,6.9,0.511,3.5,6.9,0.511,0.0,0.0,0.5,1.9,3.1,0.612,2.6,3.1,5.6,0.8,0.3,2.3,1.6,2.5,9.0,8.01,3,Robin Lopez,15,15,PHO,Stanford,15.0,964.0,20788.0,8271.0,4641.0,806.0,0.537,0.298,0.742,21.6,8.6,4.8,0.8,49.4,0.114,-1.1,4.6,2008
SEC,69.0,36.0,15.4,4.0,6.2,0.633,4.0,6.2,0.633,0.0,0.0,,1.6,2.3,0.688,1.9,3.6,5.4,0.5,0.3,0.9,1.1,1.7,9.5,6.16,3,Marreese Speights,16,16,PHI,Florida,10.0,705.0,10640.0,5592.0,2875.0,461.0,0.459,0.356,0.797,15.1,7.9,4.1,0.7,25.8,0.116,-2.2,-0.6,2008
Big East,136.0,121.0,23.3,4.2,7.0,0.603,4.2,7.0,0.602,0.0,0.0,1.0,2.4,3.5,0.68,2.3,3.7,5.9,1.3,0.4,1.9,1.5,2.5,10.9,7.54,5,Roy Hibbert,17,17,TOR,Georgetown,9.0,662.0,16389.0,6611.0,4173.0,885.0,0.465,0.25,0.755,24.8,10.0,6.3,1.3,35.9,0.105,-1.1,3.5,2008
MW,66.0,31.0,18.7,3.5,6.5,0.542,3.3,5.9,0.563,0.2,0.7,0.356,1.4,2.7,0.514,1.7,3.0,4.8,0.3,0.5,1.8,1.6,2.0,8.7,0.49,3,JaVale McGee,18,18,WAS,Nevada,15.0,848.0,14199.0,6644.0,4408.0,365.0,0.577,0.186,0.604,16.7,7.8,5.2,0.4,42.7,0.144,0.0,7.3,2008
ACC,31.0,26.0,28.7,5.3,8.9,0.591,5.3,8.9,0.593,0.0,0.0,0.0,4.3,6.3,0.677,2.6,5.9,8.5,1.0,0.7,1.5,2.7,1.9,14.8,9.06,2,J.J. Hickson,19,19,CLE,NC State,8.0,534.0,11925.0,5081.0,3639.0,449.0,0.505,0.0,0.617,22.3,9.5,6.8,0.8,21.9,0.088,-1.8,0.5,2008
Pac 12,66.0,66.0,33.0,6.3,13.1,0.484,4.5,8.5,0.532,1.8,4.7,0.396,4.2,5.0,0.841,2.7,6.3,9.0,1.0,0.5,0.5,1.8,2.5,18.7,8.56,3,Ryan Anderson,21,21,NJN,California,12.0,649.0,16769.0,8001.0,3413.0,586.0,0.422,0.38,0.854,25.8,12.3,5.3,0.9,46.7,0.134,1.0,12.8,2008
