Conf,G_x,GS,MP_x,FG,FGA,FG%_x,2P,2PA,2P%,3P,3PA,3P%_x,FT,FTA,FT%_x,ORB,DRB,TRB_x,AST_x,STL,BLK,TOV,PF,PTS_x,SOS,Years Played,Player,Rk,Pk,Tm,College,Yrs,G_y,MP_y,PTS_y,TRB_y,AST_y,FG%_y,3P%_y,FT%_y,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year,Conf Tier
Big 12,53.0,53.0,30.2,5.2,8.9,0.586,5.2,8.9,0.586,0.0,0.0,,3.0,4.7,0.649,3.4,4.8,8.2,0.6,1.3,1.8,1.6,2.7,13.5,7.28,2,LaMarcus Aldridge,2,2,CHI,Texas,16.0,1076.0,36242.0,20558.0,8736.0,2076.0,0.493,0.32,0.813,33.7,19.1,8.1,1.9,115.7,0.153,1.7,33.4,2006,Big 12
WCC,95.0,62.0,30.6,7.0,14.0,0.503,5.7,10.3,0.551,1.3,3.7,0.368,4.2,5.5,0.761,1.3,3.8,5.1,2.0,0.7,0.4,1.7,1.7,19.7,4.23,3,Adam Morrison,3,3,CHA,Gonzaga,3.0,161.0,3278.0,1200.0,342.0,222.0,0.373,0.331,0.71,20.4,7.5,2.1,1.4,-1.4,-0.021,-5.0,-2.4,2006,Other
SEC,32.0,21.0,25.9,4.8,7.8,0.608,4.7,7.8,0.606,0.0,0.0,1.0,2.8,4.3,0.657,2.8,6.4,9.2,1.3,1.0,3.1,1.8,2.6,12.3,8.77,1,Tyrus Thomas,4,4,POR,LSU,8.0,402.0,7932.0,3093.0,1938.0,347.0,0.438,0.235,0.732,19.7,7.7,4.8,0.9,13.0,0.078,-1.2,1.7,2006,SEC
ACC,139.0,128.0,28.1,4.9,8.6,0.572,4.9,8.6,0.574,0.0,0.1,0.333,4.0,5.7,0.694,3.2,5.9,9.1,0.9,1.2,3.0,2.3,3.1,13.9,9.51,4,Shelden Williams,5,5,ATL,Duke,6.0,361.0,5586.0,1618.0,1562.0,163.0,0.462,0.222,0.74,15.5,4.5,4.3,0.5,9.9,0.085,-3.0,-1.5,2006,ACC
Pac 12,103.0,71.0,27.5,5.2,10.1,0.512,4.7,8.6,0.541,0.5,1.5,0.344,3.5,4.5,0.765,1.8,3.2,5.0,3.0,1.0,0.5,2.1,2.1,14.3,6.83,4,Brandon Roy,6,6,MIN,Washington,6.0,326.0,11561.0,6136.0,1388.0,1517.0,0.459,0.348,0.8,35.5,18.8,4.3,4.7,37.4,0.155,3.6,16.3,2006,Pac 12
Big East,131.0,128.0,31.3,5.2,13.1,0.399,3.6,8.1,0.441,1.6,4.9,0.329,3.0,3.8,0.781,1.4,3.4,4.8,3.2,1.5,0.4,2.9,2.7,15.0,8.37,4,Randy Foye,7,7,BOS,Villanova,11.0,752.0,19279.0,7729.0,1686.0,2112.0,0.401,0.366,0.852,25.6,10.3,2.2,2.8,23.5,0.058,-1.2,3.8,2006,Big East
Big East,64.0,59.0,29.8,5.0,10.8,0.461,4.1,8.5,0.483,0.9,2.3,0.378,2.8,3.8,0.721,1.9,4.0,5.9,1.8,1.3,1.7,2.2,2.3,13.6,7.1,2,Rudy Gay,8,8,HOU,UConn,17.0,1104.0,34327.0,17528.0,6237.0,2260.0,0.452,0.346,0.799,31.1,15.9,5.6,2.0,61.0,0.085,0.6,22.6,2006,Big East
MVC,52.0,47.0,24.3,4.6,8.4,0.554,4.6,8.4,0.554,0.0,0.0,,2.4,3.4,0.687,2.6,5.3,7.8,0.7,0.9,2.8,1.9,3.1,11.6,4.97,2,Patrick O'Bryant,9,9,GSW,Bradley,4.0,90.0,524.0,186.0,127.0,25.0,0.494,0.0,0.583,5.8,2.1,1.4,0.3,0.5,0.046,-4.6,-0.3,2006,Other
ACC,139.0,134.0,34.0,5.9,13.7,0.433,2.6,5.6,0.472,3.3,8.1,0.406,4.8,5.2,0.912,0.5,2.2,2.7,2.2,1.1,0.1,2.1,1.6,19.9,9.51,4,J.J. Redick,11,11,ORL,Duke,15.0,940.0,23964.0,12028.0,1903.0,1862.0,0.447,0.415,0.892,25.5,12.8,2.0,2.0,63.7,0.128,0.6,16.0,2006,ACC
Big East,131.0,56.0,15.1,1.7,3.1,0.563,1.7,3.1,0.565,0.0,0.0,0.333,1.2,2.1,0.578,1.3,2.6,3.9,0.6,0.3,1.5,1.2,2.1,4.7,7.4,4,Hilton Armstrong,12,12,NOK,UConn,6.0,292.0,3378.0,880.0,766.0,102.0,0.501,0.286,0.582,11.6,3.0,2.6,0.3,3.9,0.055,-4.1,-1.8,2006,Big East
